"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2010","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",66609708734786.2,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2011","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",74080837776246.3,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2012","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",75705854038889.1,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2013","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",77873446166547,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2014","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",80020337644636.3,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2015","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",75472473882835.1,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2016","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",76702553625899.1,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2017","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",81712043350515.4,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2018","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",86884839554431.6,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2019","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",88149850742945.9,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2020","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",85763013427792.9,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2021","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",97848299706454.8,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",101770911729948,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2023","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",106171667873321,"Nominal GDP"
